2023-09-12-03-39: 
2023-09-12-03-39: epoch: 146 |lr: [0.004770551753517162] |train/supervised_loss: 0.00028214|train/bone_loss: 0.00572943|train/total_loss: 0.00601157|
2023-09-12-03-39: epoch: 147 |lr: [0.004767220301092606] |train/supervised_loss: 0.0002827|train/bone_loss: 0.00571011|train/total_loss: 0.00599281|
2023-09-12-03-39: epoch: 148 |lr: [0.0047638660177859145] |train/supervised_loss: 0.00028502|train/bone_loss: 0.00571963|train/total_loss: 0.00600465|
2023-09-12-03-39: epoch: 149 |lr: [0.004760488937374686] |train/supervised_loss: 0.00028291|train/bone_loss: 0.00568908|train/total_loss: 0.00597199|
2023-09-12-03-39: epoch: 150 |lr: [0.00475708909386608] |train/supervised_loss: 0.00028408|train/bone_loss: 0.0056798|train/total_loss: 0.00596388|
2023-09-12-03-39: epoch: 151 |lr: [0.004753666521496483] |train/supervised_loss: 0.00028111|train/bone_loss: 0.00564692|train/total_loss: 0.00592803|
2023-09-12-03-39: epoch: 152 |lr: [0.004750221254731161] |train/supervised_loss: 0.00028121|train/bone_loss: 0.00566028|train/total_loss: 0.0059415|
2023-09-12-03-39: epoch: 153 |lr: [0.0047467533282639154] |train/supervised_loss: 0.00027991|train/bone_loss: 0.00561435|train/total_loss: 0.00589425|
2023-09-12-03-39: epoch: 154 |lr: [0.004743262777016724] |train/supervised_loss: 0.000279|train/bone_loss: 0.00561463|train/total_loss: 0.00589363|
2023-09-12-03-39: epoch: 155 |lr: [0.004739749636139399] |train/supervised_loss: 0.0002766|train/bone_loss: 0.00556264|train/total_loss: 0.00583925|
2023-09-12-03-39: epoch: 156 |lr: [0.004736213941009231] |train/supervised_loss: 0.0002782|train/bone_loss: 0.00552223|train/total_loss: 0.00580043|
2023-09-12-03-39: epoch: 157 |lr: [0.004732655727230627] |train/supervised_loss: 0.00027639|train/bone_loss: 0.00552742|train/total_loss: 0.00580382|
2023-09-12-03-39: epoch: 158 |lr: [0.004729075030634766] |train/supervised_loss: 0.00027522|train/bone_loss: 0.00551997|train/total_loss: 0.0057952|
2023-09-12-03-39: epoch: 159 |lr: [0.004725471887279219] |train/supervised_loss: 0.00028318|train/bone_loss: 0.00552198|train/total_loss: 0.00580516|
2023-09-12-03-39: epoch: 160 |lr: [0.004721846333447605] |train/supervised_loss: 0.0002696|train/bone_loss: 0.00546905|train/total_loss: 0.00573865|
2023-09-12-03-39: epoch: 161 |lr: [0.004718198405649205] |train/supervised_loss: 0.00026874|train/bone_loss: 0.00543167|train/total_loss: 0.00570041|
2023-09-12-03-39: epoch: 162 |lr: [0.004714528140618612] |train/supervised_loss: 0.00027081|train/bone_loss: 0.0053788|train/total_loss: 0.0056496|
2023-09-12-03-39: epoch: 163 |lr: [0.004710835575315355] |train/supervised_loss: 0.00026527|train/bone_loss: 0.005264|train/total_loss: 0.00552927|
2023-09-12-03-39: epoch: 164 |lr: [0.0047071207469235295] |train/supervised_loss: 0.00026082|train/bone_loss: 0.00522458|train/total_loss: 0.00548541|
2023-09-12-03-39: epoch: 165 |lr: [0.004703383692851411] |train/supervised_loss: 0.00025381|train/bone_loss: 0.00502253|train/total_loss: 0.00527634|
